B/H;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
1700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
1800;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1900;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2000;0;0;0;0;0;0;0;0;0;;;;;;;;;;
end;;;;;;;;;;;;;;;;;;;
