"Sungate code";"Picture";"Profile system";"Surcharge %";"Element groups";"Prio";"Description";"Long text sales"
"SL 2 Salamander";"";"SAL SL";0;"*";10;"Salamander Streamline SL 2";"Salamander Streamline SL 2"
"SL 2A Salamander";"";"SAL SL";0;"*";10;"Salamander Streamline SL 2A";"Salamander Streamline SL 2A Rund"
"SL 4 mit 2Grif.+PZ";"";"SAL SL";99,99;"BT,FE";12;"SL 4 mit 2 Griffen+PZ nur für Balkontüren IÖ";"SL4 mit 2 Griffen+PZ nur für Balkontüren innen öffnend / ACHTUNG!!!! / Weterschenkel Aussen und Gummi oder Bürstendichtung Unten"
"SL 4 mit 2Gri.+PZ AÖ";"";"SAL SL";99,99;"BT,FE";13;"SL 4 mit 2 Griffen+PZ nur für Balkontüren AÖ";"SL4 mit 2 Griffen+PZ nur für Balkontüren aussen öffnennd Ansicht von innen / ACHTUNG!!!! / Weterschenkel Aussen und Gummi oder Bürstendichtung Unten"
"SL 14 Salam. AluClip";"";"SAL SL";40;"*";15;"Salamander AluClip 14";"Salamander AluClip 14"
"BluEvolution V 92mm";"";"SAL BE";50;"*";16;"BluEvolution V 92mm";"BluEvolution V 92mm"
"HS 16 Salamander";"";"SAL HS";0;"*";16;"Salamander Hebe-Schiebe HS 16";"Salamander HS 16"
"HT SL 11 Salam.  IÖ";"";"SAL SL";0;"HT*";16;"Salamander SL 11 HT innen öffnend";"Salamander SL 11 HT innen öffnend"
"HT SL 11 Salam. AÖ";"";"SAL SL";0;"*";16;"Salamnder SL 11 HT aussen öffnend";"Salamnder SL 11 HT aussen öffnend Ansicht von innen"
"HT BE 12 Salam. IÖ";"";"SAL BE82";20;"*";17;"Salamander BE 12 HT innen öffnend";"Salamander BE 12 HT innen öffnend"
"PSK SL2";"";"SAL SL";0;"*";17;"PSK Salamander Streamline 2";"PSK Salamander Streamline 2"
"PSK SL2A";"";"SAL SL";0;"*";17;"PSK Salamander Streamline 2";"PSK Salamander Streamline 2"
"HT BE 12 Salam. AÖ";"";"SAL BE82";20;"*";18;"Salamander BE 12 HT aussen öffnend";"Salamander BE 12 HT aussen öffnend  Ansicht von innen"
"PSK BluEvol. V 92mm";"";"SAL BE";50;"*";18;"PSK BluEvolution V 92mm";"PSK BluEvolution V 92mm"
"HT SL 15 Sal.AluCli";"";"SAL SL";40;"*";400;"Salamander AluClip 15 HT innen öffnend";"Salamander AluClip 15 HT innen öffnend"
"";"";"";0;"*";500;"";""
"ALU Tuere nach innen";"";"ALU HT";0;"*";500;"Aluminium Haustueren nach innen öffnend";""
"ALU Türe nach aussen";"";"ALU HT";0;"*";500;"Aluminium Haustueren nach aussen öffnend";""
"Nova BE 12A Sal. AÖ";"";"SAL BE82";20;"*";500;"Salamander NT Nova BE 12A aussen öffnend";"Salamander NT Nova BE 12A aussen öffnend Ansicht von innen"
"Nova BE 12A Sal. IÖ";"";"SAL BE82";20;"*";500;"Salamander NT Nova BE 12A innen öffnend";"Salamander SL 11A NT Nova innen öffnend"
"Nova SL 11A  Sal. IÖ";"";"SAL SL";0;"*";500;"Salamander NT Nova SL 11A innen öffnend";"Salamander SL 11A NT Nova innen öffnend / ACHTUNG!!!! / Weterschenkel Aussen und Gummi oder Bürstendichtung Unten"
"Nova SL 11A Sal. AÖ";"";"SAL SL";0;"*";500;"Salamander NT Nova SL 11A aussen öffnend";"Salamander NT Nova SL 11A aussen öffnend Ansicht von innen / ACHTUNG!!!! / Weterschenkel Aussen und Gummi oder Bürstendichtung Unten"
"Nova SL 15A AluCl.IÖ";"";"SAL SL";40;"*";500;"Salamander AluClip NT Nova SL 11A innen öffnend";"Salamander AluClip 15A NT Nova innen öffnend"
"Virt.Rollo Rahmen";"";"_SunSys";0;"*";500;"Virt.Rollo Rahmen";""
"_Sun Profilgruppe";"";"_SunSys";0;"*";500;"Sungate Profilgruppe";""
